,scientific_name,park_name,observations
4968,Abies bifolia,Bryce National Park,109
8050,Abies bifolia,Yellowstone National Park,215
17990,Abies bifolia,Great Smoky Mountains National Park,72
20930,Abies bifolia,Yosemite National Park,136
4647,Abies concolor,Great Smoky Mountains National Park,101
8170,Abies concolor,Bryce National Park,83
15193,Abies concolor,Yellowstone National Park,241
23166,Abies concolor,Yosemite National Park,205
2014,Abies fraseri,Bryce National Park,109
5112,Abies fraseri,Great Smoky Mountains National Park,81
5793,Abies fraseri,Yosemite National Park,110
11141,Abies fraseri,Yellowstone National Park,218
2153,Abietinella abietina,Yosemite National Park,183
3129,Abietinella abietina,Great Smoky Mountains National Park,65
8693,Abietinella abietina,Bryce National Park,101
21513,Abietinella abietina,Yellowstone National Park,243
4241,Abronia ammophila,Yosemite National Park,137
8278,Abronia ammophila,Great Smoky Mountains National Park,72
17416,Abronia ammophila,Bryce National Park,92
21413,Abronia ammophila,Yellowstone National Park,222
3,Abutilon theophrasti,Bryce National Park,84
16388,Abutilon theophrasti,Yosemite National Park,138
18393,Abutilon theophrasti,Great Smoky Mountains National Park,85
20003,Abutilon theophrasti,Yellowstone National Park,262
14084,Acalypha gracilens,Great Smoky Mountains National Park,98
14192,Acalypha gracilens,Yellowstone National Park,263
20192,Acalypha gracilens,Yosemite National Park,160
22899,Acalypha gracilens,Bryce National Park,68
4095,Acalypha ostryifolia,Great Smoky Mountains National Park,112
9824,Acalypha ostryifolia,Yellowstone National Park,243
18865,Acalypha ostryifolia,Yosemite National Park,150
19125,Acalypha ostryifolia,Bryce National Park,95
7952,Acalypha rhomboidea,Great Smoky Mountains National Park,96
8104,Acalypha rhomboidea,Bryce National Park,90
8653,Acalypha rhomboidea,Yellowstone National Park,245
14425,Acalypha rhomboidea,Yosemite National Park,144
5733,Acalypha virginica,Great Smoky Mountains National Park,80
6132,Acalypha virginica,Yosemite National Park,143
16513,Acalypha virginica,Yellowstone National Park,229
19625,Acalypha virginica,Bryce National Park,108
739,Acanthus flammea,Great Smoky Mountains National Park,68
3408,Acanthus flammea,Bryce National Park,95
9980,Acanthus flammea,Yosemite National Park,120
20200,Acanthus flammea,Yellowstone National Park,241
94,Accipiter cooperii,Bryce National Park,95
2912,Accipiter cooperii,Yosemite National Park,138
5585,Accipiter cooperii,Yellowstone National Park,245
8540,Accipiter cooperii,Great Smoky Mountains National Park,65
5214,Accipiter gentilis,Great Smoky Mountains National Park,78
8255,Accipiter gentilis,Yellowstone National Park,232
18003,Accipiter gentilis,Yosemite National Park,163
18405,Accipiter gentilis,Bryce National Park,109
6701,Accipiter striatus,Yosemite National Park,115
11189,Accipiter striatus,Yellowstone National Park,200
21486,Accipiter striatus,Bryce National Park,62
22810,Accipiter striatus,Great Smoky Mountains National Park,69
3189,Acer glabrum,Bryce National Park,30
10920,Acer glabrum,Yosemite National Park,124
19261,Acer glabrum,Great Smoky Mountains National Park,123
20063,Acer glabrum,Yellowstone National Park,247
10330,Acer glabrum var. torreyi,Yellowstone National Park,282
10784,Acer glabrum var. torreyi,Bryce National Park,84
13332,Acer glabrum var. torreyi,Great Smoky Mountains National Park,75
22334,Acer glabrum var. torreyi,Yosemite National Park,160
