4231,Vascular Plant,Abies bifolia,Rocky Mountain Alpine Fir,
5443,Vascular Plant,Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",
2708,Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern
1171,Nonvascular Plant,Abietinella abietina,Abietinella Moss,
3906,Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
2646,Vascular Plant,Abutilon theophrasti,Velvetleaf,
2548,Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
2549,Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
2550,Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",
2551,Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",
450,Bird,Acanthus flammea,"Common Redpoll, Redpoll",
81,Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
82,Bird,Accipiter gentilis,Northern Goshawk,
83,Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
4573,Vascular Plant,Acer glabrum,Rocky Mountain Maple,
5776,Vascular Plant,Acer glabrum var. torreyi,Torrey's Maple,
3369,Vascular Plant,Acer leucoderme,Chalk Maple,
5777,Vascular Plant,Acer macrophyllum,Bigleaf Maple,
3370,Vascular Plant,Acer negundo,"Boxelder, Box-Elder",
4574,Vascular Plant,Acer negundo var. violaceum,Boxelder,
3371,Vascular Plant,Acer nigrum,Black Maple,
3372,Vascular Plant,Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",
3373,Vascular Plant,Acer platanoides,Norway Maple,
3374,Vascular Plant,Acer rubrum var. rubrum,Red Maple,
3375,Vascular Plant,Acer rubrum var. trilobum,Trident Maple,
3376,Vascular Plant,Acer saccharinum,Silver Maple,
3377,Vascular Plant,Acer saccharum,Sugar Maple,
3378,Vascular Plant,Acer spicatum,Mountain Maple,
4689,Vascular Plant,Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",
1509,Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,
4338,Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern
4339,Vascular Plant,Achnatherum hymenoides,Indian Ricegrass,
5545,Vascular Plant,Achnatherum latiglume,Sierra Needlegrass,
5546,Vascular Plant,Achnatherum lemmonii,Lemmon's Needlegrass,
4340,Vascular Plant,Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",
5547,Vascular Plant,Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",
5548,Vascular Plant,Achnatherum nevadense,Nevada Needlegrass,
